format,n,d,payload_bytes,wire_bytes,wire_ratio,build_ms,serialize_ms,deserialize_ms,usable_access_ms,roundtrip_ms,serialize_ms_p95,deserialize_ms_p95,roundtrip_ms_p95,throughput_serialize_MBps,throughput_deserialize_MBps,throughput_roundtrip_MBps,throughput_roundtrip_MBps_std,memory_copies,deserialize_peak_kb,reps,reuse,speedup_vs_json
protobuf,1000,1024,4096000.0,4096011.0,1.0,0.00105,231.623725,0.712575,0.848322,233.18462499999998,239.2956,0.788125,240.914725,16.8675,5692.03,16.752499999999998,0.2032,2,4000.96,10,False,5.348
flatbuffers,1000,1024,4096000.0,4096036.0,1.0,0.001475,2.913225,0.01475,0.0292125,2.9572,3.4104,0.0167,3.4584,1343.3225,270270.1775,1323.4375,65.918,0,0.42,10,False,422.486
arrow_ipc,1000,1024,4096000.0,4096368.0,1.0001,0.1227,0.3981,0.032850000000000004,0.0152655,0.446225,0.42825,0.040325,0.482475,9830.3325,119099.9825,8769.95,436.9454,0,1.52,10,True,2799.665
contexttable_ipc,1000,1024,4096000.0,4162296.0,1.0162,4.38225,0.3998,0.06505,0.02098375,0.485875,0.48505,0.09065,0.5776249999999999,9809.475,60279.115,8070.4275,560.2581,0,0.9,10,True,2576.354
json,5000,1024,20480000.0,105634277.0,5.1579,0.0019,4043.653975,2017.273125,225.424906,6286.351975,4134.24185,2068.402725,6386.4778750000005,4.83,9.682500000000001,3.105,0.0173,2,266436.14,10,False,1.0
pickle,5000,1024,20480000.0,20480139.0,1.0,0.001825,4.49725,4.239875,0.004738,8.741875,4.587725,4.450950000000001,9.017875,4343.005,4606.815,2234.2675,12.5356,1,20001.86,10,False,719.571
base64_tobytes,5000,1024,20480000.0,27306668.0,1.3333,0.00115,41.645975,66.58445,0.02873925,108.25915,46.115475,67.946775,114.03642500000001,469.02,293.3325,180.42,1.2126,1,20000.22,10,False,58.106
protobuf,5000,1024,20480000.0,20480011.0,1.0,0.0012000000000000001,1153.322675,4.24135,4.30718875,1161.8712,1165.937475,4.58475,1174.58735,16.932499999999997,4614.8575,16.810000000000002,0.1296,2,20000.96,10,False,5.414
flatbuffers,5000,1024,20480000.0,20480036.0,1.0,0.0012,23.62505,0.026875,0.04048225,23.6924,23.847775,0.03065,23.917525,826.73,727063.3575,824.38,3.6856,0,0.42,10,False,265.501
arrow_ipc,5000,1024,20480000.0,20480368.0,1.0,0.140125,4.19655,0.089125,0.0385055,4.3242,4.3383,0.1149,4.481475,4654.452499999999,220503.3625,4517.25,55.6379,0,1.52,10,True,1454.831
contexttable_ipc,5000,1024,20480000.0,20810296.0,1.0161,53.3114,4.2902000000000005,0.14465,0.0572675,4.492125,4.370675,0.184925,4.588475,4553.3675,135140.8875,4348.64,65.8324,0,0.9,10,True,1400.528
